,line1,line2
32,"Footnote: 867. Lenzi 1/30/18 302, at 2.","government entity on a public-relations project that would promote, in Western and Ukrainian media, Russia's position on its 2014 invasion of Crimea.868 Gates suspected that Kilimnik was a ""spy,"" a view that he shared with Manafort, Hawker, and Alexander van der Zwaan,869 an attorney who had worked with DMI on a report for the Ukrainian Ministry of Foreign Affairs. 870 Investigative Technique b. Contacts during Paul Manafort's Time with the Trump Campaign i. Paul Manafort Joins the Campaign Manafort served on the Trump Campaign from late March to August 19, 2016. On March 29, 2016, the Campaign announced that Manafort would serve as the Campaign's ""Convention Manager.""871 On May 19, 2016, Manafort was promoted to campaign chairman and chief strategist, and Gates, who had been assisting Manafort on the Campaign, was appointed deputy campaign chairman.872 T [Harm to Ongoing Matter] as Barrack and Roger Stone both recommended Manafort to candidate Trump.873 In early 2016, at Manafort's request, Barrack suggested to Trump that Manafort join the Campaign to manage the Republican Convention.874 Stone had worked with Manafort from approximately 1980 until the mid-1990s through various consulting and lobbying firms. Manafort met Trump in 1982 when Trump hired the Black, Manafort, Stone and Kelly lobbying firm.875 Over the years, Manafort saw Trump at political and social events in New York City and at Stone's wedding, and Trump requested VIP status at the 1988 and 1996 Republican conventions worked by Manafort. 876 868 Hawker 1/9/18 302, at 13; 3/18/14 Email, Hawker & Tulukbaev."
33,Footnote: 963. Investigative Technique 144,"a. Outreach from the Russian Government At approximately 3 a.m. on election night, Trump Campaign press secretary Hope Hicks received a telephone call on her personal cell phone from a person who sounded foreign but was calling from a number with a DC area code.904 Although Hicks had a hard time understanding the person, she could make out the words ""Putin call.""965 Hicks told the caller to send her an email. 966 The following morning, on November 9, 2016, Sergey Kuznetsov, an official at the Russian Embassy to the United States, emailed Hicks from his Gmail address with the subject line, ""Message from Putin.""967 Attached to the email was a message from Putin, in both English and Russian, which Kuznetsov asked Hicks to convey to the President-Elect968 In the message, Putin offered his congratulations to Trump for his electoral victory, stating he ""look[ed] forward to working with [Trump] on leading Russian-American relations out of crisis.9969 Hicks forwarded the email to Kushner, asking, ""Can you look into this? Don't want to get duped but don't want to blow off Putin!""970 Kushner stated in Congressional testimony that he believed that it would be possible to verify the authenticity of the forwarded email through the Russian Ambassador, w [Harm to Ongoing Matter] Kushner had previously met in April 2016.971 Unable to recall the Russian Ambassador's name, Kushner emailed Dimitri Simes of CNI, w [Harm to Ongoing Matter] he had consulted previously about Russia, see Volume I, Section IV.A.4, supra, and asked, ""What is the name of Russian ambassador?972 Kushner forwarded Simes's response -- which identified Kislyak by name -- to Hicks.973 After checking with Kushner to see what he had learned, Hicks conveyed Putin's letter to transition officials. 974 Five days later, on November 14, 2016, Trump and Putin spoke by phone in the presence of Transition Team members, including incoming National Security Advisor Michael Flynn.975 964 Hicks 12/8/17 302, at 3."
34,"Footnote: 975. Flynn 11/16/17 302, at 8-10; see Doug G. Ware, Trump, Russia's Putin Talk about Syria, Icy Relations in Phone Call, UPI (Nov. 14, 2016).","b. High-Level Encouragement of Contacts through Alternative Channels As Russian officials in the United States reached out to the President-Elect and his team, a number of Russian individuals working in the private sector began their own efforts to make contact. Petr Aven, a Russian national who heads Alfa-Bank, Russia's largest commercial bank, described to the Office interactions with Putin during this time period that might account for the flurry of Russian activity.976 Aven told the Office that he is one of approximately 50 wealthy Russian businessmen who regularly meet with Putin in the Kremlin; these 50 men are often referred to as ""oligarchs.1977 Aven told the Office that he met on a quarterly basis with Putin, including in the fourth quarter (24) of 2016, shortly after the U.S. presidential election.978 Aven said that he took these meetings seriously and understood that any suggestions or critiques that Putin made during these meetings were implicit directives, and that there would be consequences for Aven if he did not follow through.979 As was typical, the 2016 Q4 meeting with Putin was preceded by a preparatory meeting with Putin's chief of staff, Anton Vaino.980 According to Aven, at his Q4 2016 one-on-one meeting with Putin,981 Putin raised the prospect that the United States would impose additional sanctions on Russian interests, including sanctions against Aven and/or Alfa-Bank.982 Putin suggested that Aven needed to take steps to protect himself and Alfa-Bank.983 Aven also testified that Putin spoke of the difficulty faced by the Russian government in getting in touch with the incoming Trump Administration.984 According to Aven, Putin indicated that he did not know with w [Harm to Ongoing Matter] formally to speak and generally did not know the people around the President-Elect.985 976 Aven provided information to the Office in an interview and through an attorney proffer, Grand Jury 977 Aven 8/2/18 302, at 7."
35,Footnote: 1065. Grand Jury 153,"Grand Jury 1066 Grand Jury 067 Grand Jury 1068 The topic of Russian interference in the 2016 election did not come up. 169 Grand Jury 1070 Prince added that he would inform Bannon about his meeting with Dmitriev, and that if there was interest in continuing the discussion, Bannon or someone else on the Transition Team would do so.1071 Grand Jury 1072 Afterwards, Prince returned to his room, where he learned that a Russian aircraft carrier had sailed to Libya, which led him to call Nader and ask him to set up another meeting with Dmitriev.1073 According to Nader, Prince called and said he had checked with his associates back [Harm to Ongoing Matter] e and needed to convey to Dmitriev that Libya was ""off the table.""1074 Nader wrote to Dmitriev that Prince had ""received an urgent message that he needs to convey to you immediately,"""
36,"Footnote: 1076. Grand Jury Prince, however, denied that and recalled that he was making these remarks to Dmitriev not in an official capacity for the transition but based on his experience as a former naval officer. Prince 5/3/18 302, at 4.","Grand Jury 1077 After the brief second meeting concluded, Nader and Dmitriev discussed what had transpired. 1078 Dmitriev told Nader that he was disappointed in his meetings with Prince for two reasons: first, he believed the Russians needed to be communicating with someone who had more authority within the incoming Administration than Prince had. 1079 Second, he had hoped to have a discussion of greater substance, such as outlining a strategic roadmap for both countries to follow. 1080 Dmitriev told Nader that Grand Jury Prince's comments Grand Jury were insulting Grand Jury 1081 Hours after the second meeting, Prince sent two text messages to Bannon from the Seychelles. 1082 As described further below, investigators were unable to obtain the content of these or other messages between Prince and Bannon, and the investigation also did not identify evidence of any further communication between Prince and Dmitriev after their meetings in the Seychelles. iii. Erik Prince's Meeting with Steve Bannon after the Seychelles Trip After the Seychelles meetings, Prince told Nader that he would inform Bannon about his discussion with Dmitriev and would convey that someone within the Russian power structure was interested in seeking better relations with the incoming Administration. 1083 On January 12, 2017, Prince contacted Bannon's personal assistant to set up a meeting for the following week. 1084 Several days later, Prince messaged her again asking about Bannon's schedule.1085 Prince said that he met Bannon at Bannon's [Harm to Ongoing Matter] e after returning to the United States in mid-January and briefed him about several topics, including his meeting with Dmitriev.1086 Prince told the Office that he explained to Bannon that Dmitriev was the head of a Russian sovereign wealth fund and was interested in improving relations between the United States and Russia. 1087 Prince had on his cellphone a screenshot of Dmitriev's Wikipedia page dated January 16, 2017, 1077 Grand Jury 1078 Nader 1/22/18 302, at 15; Grand Jury 1079 Nader 1/22/18 302, at 9, 15; Grand Jury 1080 Nader 1/22/18 302, at 15."
37,"Footnote: 1131. 11/17/16 Email, Brown to Simes (10:41 a.m.); Brown 10/13/17 302, at 4; 11/17/16 Email, Vargas to Kushner (12:31:18).","Foresman, at the end of an early December 2016 meeting with incoming National Security Advisor Michael Flynn and his designated deputy (K.T. McFarland) in New York, Flynn asked Foresman for his thoughts on Kislyak. Foresman had not met Kislyak but told Flynn that, while Kislyak was an important person, Kislyak did not have a direct line to Putin.1132 Foresman subsequently traveled to Moscow, inquired of a source he believed to be close to Putin, and heard back from that source that Ushakov would be the official channel for the incoming U.S. national security advisor. 1133 Foresman acknowledged that Flynn had not asked him to undertake that inquiry in Russia but told the Office that he nonetheless felt obligated to report the information back to Flynn, and that he worked to get a face-to-face meeting with Flynn in January 2017 so that he could do so. 1134 Email correspondence suggests that the meeting ultimately went forward, 1135 but Flynn has no recollection of it or of the earlier December meeting. 1136 (The investigation did not identify evidence of Flynn or Kushner meeting with Ushakov after being given his name. ""137) In the meantime, although he had already formed the impression that Kislyak was not necessarily the right point of contact,1138 Kushner went forward with the meeting that Kislyak had requested on November 16. It took place at Trump Tower on November 30, 2016.1139 At Kushner's invitation, Flynn also attended; Bannon was invited but did not attend. 1140 During the meeting, which lasted approximately 30 minutes, Kushner expressed a desire on the part of the incoming Administration to start afresh with U.S.-Russian relations.1141 Kushner also asked Kislyak to identify the best person (whether Kislyak or someone else) with w [Harm to Ongoing Matter] to direct future discussions -- someone who had contact with Putin and the ability to speak for him. 1142 The three men also discussed U.S. policy toward Syria, and Kislyak floated the idea of having Russian generals brief the Transition Team on the topic using a secure communications line. 1143 After Flynn explained that there was no secure line in the Transition Team offices, 1132 Foresman 10/17/18 302, at 17."
38,"Footnote: 1154. Kushner 4/11/18 302, at 20.","the meeting and that no one on the Transition Team even did a Google search for Gorkov's name.1155 At the start of the meeting, Gorkov presented Kushner with two gifts: a painting and a bag of soil from the town in Belarus where Kushner's family originated. 1156 The accounts from Kushner and Gorkov differ as to whether the meeting was diplomatic or business in nature. Kushner told the Office that the meeting was diplomatic, with Gorkov expressing disappointment with U.S.-Russia relations under President Obama and hopes for improved relations with the incoming Administration. 1157 According to Kushner, although Gorkov told Kushner a little bit about his bank and made some statements about the Russian economy, the two did not discuss Kushner's companies or private business dealings of any kind."" (At the time of the meeting, Kushner Companies had a debt obligation coming due on the building it owned at 666 Fifth Avenue, and there had been public reporting both about efforts to secure lending on the property and possible conflicts of interest for Kushner arising out of his company's borrowing from foreign lenders.15) In contrast, in a 2017 public statement, VEB suggested Gorkov met with Kushner in Kushner's capacity as CEO of Kushner Companies for the purpose of discussing business, rather than as part of a diplomatic effort. In particular, VEB characterized Gorkov's meeting with Kushner as part of a series of ""roadshow meetings"" with ""representatives of major US banks and business circles,"" which included ""negotiations"" and discussion of the ""most promising business lines and sectors.""1160 Foresman, the investment bank executive mentioned in Volume I, Sections IV.A.1 and IV.B.3, supra, told the Office that he met with Gorkov and VEB deputy chairman Nikolay Tsek [Harm to Ongoing Matter] sky in Moscow just before Gorkov left for New York to meet Kushner. 1161 According to Foresman, Gorkov and Tsek [Harm to Ongoing Matter] sky told him that they were traveling to New York to discuss post-election issues with U.S. financial institutions, that their trip was sanctioned by Putin, and that they would be reporting back to Putin upon their return. 1162 1155 Kushner 4/11/18 302, at 19. Berkowitz, by contrast, stated to the Office that he had googled Gorkov's name and told Kushner that Gorkov appeared to be a banker. Berkowitz 1/12/18 302, at 8."
39,"V. PROSECUTION AND DECLINATION DECISIONS The Appointment Order authorized the Special Counsel's Office ""to prosecute federal crimes arising from [its] investigation"" of the matters assigned to it. In deciding whether to exercise this prosecutorial authority, the Office has been guided by the Principles of Federal Prosecution set forth in the Justice (formerly U.S. Attorney's) Manual. In particular, the Office has evaluated whether the conduct of the individuals considered for prosecution constituted a federal offense and whether admissible evidence would probably be sufficient to obtain and sustain a conviction for such an offense. Justice Manual & 9-27.220 (2018). Where the answer to those questions was yes, the Office further considered whether the prosecution would serve a substantial federal interest, the individuals were subject to effective prosecution in another jurisdiction, and there existed an adequate non-criminal alternative to prosecution. Id.","As explained below, those considerations led the Office to seek charges against two sets of Russian nationals for their roles in perpetrating the active-measures social media campaign and computer-intrusion operations. [Harm to Ongoing Matter] The Office similarly determined that the contacts between Campaign officials and Russia-linked individuals either did not involve the commission of a federal crime or, in the case of campaign-finance offenses, that our evidence was not sufficient to obtain and sustain a criminal conviction. At the same time, the Office concluded that the Principles of Federal Prosecution supported charging certain individuals connected to the Campaign with making false statements or otherwise obstructing this investigation or parallel congressional investigations."
40,"Although members of the IRA had contact with individuals affiliated with the Trump Campaign, the indictment does not charge any Trump Campaign official or any other U.S. person with participating in the conspiracy. That is because the investigation did not identify evidence that any U.S. person who coordinated or communicated with the IRA knew that he or she was speaking with Russian nationals engaged in the criminal conspiracy. The Office therefore determined that such persons did not have the knowledge or criminal purpose required to charge them in the conspiracy to defraud the United States (Count One) or in the separate count alleging a wire-and bank-fraud conspiracy involving the IRA and two individual Russian nationals (Count Two).","The Office did, however, charge one U.S. national for his role in supplying false or stolen bank account numbers that allowed the IRA conspirators to access U.S. online payment systems by circumventing those systems' security features. On February 12, 2018, Richard Pinedo pleaded guilty, pursuant to a single-count information, to identity fraud, in violation of 18 U.S.C. § 1028(a)(7) and (b)(1)(D). Plea Agreement, United States v. Richard Pinedo, No. 1:18-cr-24 (D.D.C. Feb. 12, 2018), Doc. 10. The investigation did not establish that Pinedo was aware of the identity of the IRA members who purchased bank account numbers from him. Pinedo's sales of account numbers enabled the IRA members to anonymously access a financial network through which they transacted with U.S. persons and companies. See Gov't Sent. Mem. at 3, United States v. Richard Pinedo, No. 1:18-cr-24 (D.D.C. Sept. 26, 2018), Doc. 24. On October 10, 2018, Pinedo was sentenced to six months of imprisonment, to be followed by six months of [Harm to Ongoing Matter] e confinement, and was ordered to complete 100 hours of community service."
41,"the releases, the defendants used the Guccifer 2.0 persona to disseminate documents through WikiLeaks. On July 22, 2016, WikiLeaks released over 20,000 emails and other documents that the hacking conspirators had stolen from the DNC. Netyksho Indictment 148. In addition, on October 7, 2016, WikiLeaks began releasing emails that some conspirators had stolen from Clinton Campaign chairman John Podesta after a successful spearphishing operation. Netyksho Indictment 149.","[Harm to Ongoing Matter - Grand Jury] [Harm to Ongoing Matter] b. Charging Decision As to [Harm to Ongoing Matter] [Harm to Ongoing Matter] 278 [Harm to Ongoing Matter] 1278 The Office also considered, but ruled out, charges on the theory that the post-hacking sharing and dissemination of emails could constitute trafficking in or receipt of stolen property under the National Stolen Property Act (NSPA), 18 U.S.C. §§ 2314 and 2315. The statutes comprising the NSPA cover ""goods, wares, or merchandise,"" and lower courts have largely understood that phrase to be limited to tangible items since the Supreme Court's decision in Dowling v. United States, 473 U.S. 207 (1985). See United States v. Yijia Zhang, 995 F. Supp. 2d 340, 344-48 (E.D. Pa. 2014)(collecting cases). One of those post-Dowling decisions -- United States v. Brown, 925 F.2d 1301 (10th Cir. 1991)-specifically held that the NSPA does not reach ""a computer program in source code form,"" even though that code was stored in tangible items (i.e., a hard disk and in a three-ring notebook). Id. at 1302-03. Congress, in turn, cited the Brown opinion in explaining the need for amendments to 18 U.S.C. § 1030(a)(2) that ""would ensure that the theft of intangible information by the unauthorized use of a computer is prohibited in the same way theft of physical items [is] protected."" S. Rep. 104-357, at 7 (1996). That sequence of events would make it difficult to argue that hacked emails in electronic form, which are the relevant stolen items here, constitute ""goods, wares, or merchandise"" within the meaning of the NSPA."
42,"Personal Privacy C. Russian Government Outreach and Contacts As explained in Section IV above, the Office's investigation uncovered evidence of numerous links (i.e., contacts) between Trump Campaign officials and individuals having or claiming to have ties to the Russian government. The Office evaluated the contacts under several sets of federal laws, including conspiracy laws and statutes governing foreign agents who operate in the United States. After considering the available evidence, the Office did not pursue charges under these statutes against any of the individuals discussed in Section IV above -- with the exception of FARA charges against Paul Manafort and Richard Gates based on their activities on behalf of Ukraine.","One of the interactions between the Trump Campaign and Russian-affiliated individuals-the June 9, 2016 meeting between high-ranking campaign officials and Russians promising derogatory information on Hillary Clinton-implicates an additional body of law: campaign-finance statutes. Schemes involving the solicitation or receipt of assistance from foreign sources raise difficult statutory and constitutional questions. As explained below, the Office evaluated those questions in connection with the June 9 meeting [Harm to Ongoing Matter] The Office ultimately concluded that, even if the principal legal questions were resolved favorably to the government, a prosecution would encounter difficulties proving that Campaign officials or individuals connected to the Campaign willfully violated the law."
43,"While the investigation revealed significant ties between Papadopoulos and Israel (and search warrants were obtained in part on that basis), the Office ultimately determined that the evidence was not sufficient to obtain and sustain a conviction under FARA or Section 951.","3. Campaign Finance Several areas of the Office's investigation involved efforts or offers by foreign nationals to provide negative information about candidate Clinton to the Trump Campaign or to distribute that information to the public, to the anticipated benefit of the Campaign. As explained below, the Office considered whether two of those efforts in particular -- the June 9, 2016 meeting at Trump 1281 [Harm to Ongoing Matter] 1282 On four occasions, the Foreign Intelligence Surveillance Court (FISC) issued warrants based on a finding of probable cause to believe that Page was an agent of a foreign power. 50 U.S.C. §§ 1801(b), 1805(a)(2)(A). The FISC's probable-cause finding was based on a different (and lower) standard than the one governing the Office's decision whether to bring charges against Page, which is whether admissible evidence would likely be sufficient to prove beyond a reasonable doubt that Page acted as an agent of the Russian Federation during the period at issue. Cf. United States v. Cardoza, 713 F.3d 656, 660 (D.C. Cir."
44,"2013)(explaining that probable cause requires only ""a fair probability,"" and not ""certainty, or proof beyond a reasonable doubt, or proof by a preponderance of the evidence"").","Tower [Harm to Ongoing Matter] constituted prosecutable violations of the campaign-finance laws. The Office determined that the evidence was not sufficient to charge either incident as a criminal violation. a. Overview Of Governing Law ""[T] he United States has a compelling interest... in limiting the participation of foreign citizens in activities of democratic self-government, and in thereby preventing foreign influence over the U.S. political process."" Bluman v. FEC, 800 F. Supp. 2d 281, 288 (D.D.C. 2011)(Kavanaugh, J., for three-judge court), aff'd, 565 U.S. 1104 (2012). To that end, federal campaign-finance law broadly prohibits foreign nationals from making contributions, donations, expenditures, or other disbursements in connection with federal, state, or local candidate elections, and prohibits anyone from soliciting, accepting, or receiving such contributions or donations. As relevant here, foreign nationals may not make -- and no one may ""solicit, accept, or receive"" from them -- ""a contribution or donation of money or other thing of value"" or ""an express or implied promise to make a contribution or donation, in connection with a Federal, State, or local election."""
45,"Accordingly, taking into account the high burden to establish a culpable mental state in a campaign-finance prosecution and the difficulty in establishing the required valuation, the Office decided not to pursue criminal campaign-finance charges against Trump Jr. or other campaign officials for the events culminating in the June 9 meeting.",C. Application to [Harm to Ongoing Matter] [Harm to Ongoing Matter] [Harm to Ongoing Matter]
46,"ii. Willfulness As discussed, to establish a criminal campaign-finance violation, the government must prove that the defendant acted ""knowingly and willfully."" 52 U.S.C. 30109(d)(1)(A)","(i). That standard requires proof that the defendant knew generally that his conduct was unlawful. Election Offenses 123. Given the uncertainties noted above, the ""willfulness"" requirement would pose a substantial barrier to prosecution. iii. Constitutional Considerations Finally, the First Amendment could pose constraints on a prosecution. [Harm to Ongoing Matter] iv. Analysis as to [Harm to Ongoing Matter] [Harm to Ongoing Matter]"
47,"Cohen Information 97. Cohen knew the statements in the letter to be false at the time, and admitted that he made them in an effort (1) to minimize the links between the project and Trump (who by this time was President), and (2) to give the false impression that the project had ended before the first vote in the Republican Party primary process, in the hopes of limiting the ongoing Russia investigations. Id.","Given the nature of the false statements and the fact that he repeated them during his initial interview with the Office, we charged Cohen with violating Section 1001. On November 29, 2018, Cohen pleaded guilty pursuant to a plea agreement to a single-count information charging him with making false statements in a matter within the jurisdiction of the legislative branch, in violation of 18 U.S.C. § 1001(a)(2) and (c). Cohen Information. The case was transferred to the district judge presiding over the separate prosecution of Cohen pursued by the Southern District of New York (after a referral from our Office). On December 7, 2018, this Office submitted a letter to that judge recommending that Cohen's cooperation with our investigation be taken into account in sentencing Cohen on both the false-statements charge and the offenses in the Southern District prosecution. On December 12, 2018, the judge sentenced Cohen to two months of imprisonment on the false-statements count, to run concurrently with a 36-month sentence imposed on the other counts. v. [Harm to Ongoing Matter] [Harm to Ongoing Matter]"
48,2. The President Seeks to Have McGahn Dispute the Press Reports ...................,"J. The President's Conduct Towards Flynn, Manafort, [Harm to Ongoing Matter] 1. Conduct Directed at Michael Flynn.............."
49,2. Conduct Directed at Paul Manafort ..................,3. [Harm to Ongoing Matter] K. The President's Conduct Involving Michael Cohen ............
50,FACTUAL RESULTS OF THE OBSTRUCTION INVESTIGATION,"The key issues and events we examined include the following: The Campaign's response to reports about Russian support for Trump. During the 2016 presidential campaign, questions arose about the Russian government's apparent support for candidate Trump. After WikiLeaks released politically damaging Democratic Party emails that were reported to have been hacked by Russia, Trump publicly expressed skepticism that Russia was responsible for the hacks at the same time that he and other Campaign officials privately sought information [Harm to Ongoing Matter] about any further planned WikiLeaks releases. Trump also denied having any business in or connections to Russia, even though as late as June 2016 the Trump Organization had been pursuing a licensing deal for a skyscraper to be built in Russia called Trump Tower Moscow. After the election, the President expressed concerns to advisors that reports of Russia's election interference might lead the public to question the legitimacy of his election."
51,"The appointment of a Special Counsel and efforts to remove him. On May 17, 2017, the Acting Attorney General for the Russia investigation appointed a Special Counsel to conduct the investigation and related matters. The President reacted to news that a Special Counsel had been appointed by telling advisors that it was the end of his presidency"" and demanding that Sessions resign. Sessions submitted his resignation, but the President ultimately did not accept it. The President told aides that the Special Counsel had conflicts of interest and suggested that the Special Counsel therefore could not serve. The President's advisors told him the asserted conflicts were meritless and had already been considered by the Department of Justice.","On June 14, 2017, the media reported that the Special Counsel's Office was investigating whether the President had obstructed justice. Press reports called this ""a major turning point"" in the investigation: while Comey had told the President he was not under investigation, following Comey's firing, the President now was under investigation. The President reacted to this news with a series of tweets criticizing the Department of Justice and the Special Counsel's investigation. On June 17, 2017, the President called McGahn at [Harm to Ongoing Matter] e and directed him to call the Acting Attorney General and say that the Special Counsel had conflicts of interest and must be removed. McGahn did not carry out the direction, however, deciding that he would resign rather than trigger what he regarded as a potential Saturday Night Massacre."
52,"Efforts to prevent public disclosure of evidence. In the summer of 2017, the President learned that media outlets were asking questions about the June 9, 2016 meeting at Trump Tower between senior campaign officials, including Donald Trump Jr., and a Russian lawyer who was said to be offering damaging information about Hillary Clinton as ""part of Russia and its government's support for Mr. Trump."" On several occasions, the President directed aides not to publicly disclose the emails setting up the June 9 meeting, suggesting that the emails would not leak and that the number of lawyers with access to them should be limited. Before the emails became public, the President edited a press statement for Trump Jr. by deleting a line that acknowledged that the meeting was with ""an individual who [Trump Jr.] was told might have information helpful to the campaign"" and instead said only that the meeting was about adoptions of Russian children. When the press asked questions about the President's involvement in Trump Jr.'s statement, the President's personal lawyer repeatedly denied the President had played any role.","Further efforts to have the Attorney General take control of the investigation. In early summer 2017, the President called Sessions at [Harm to Ongoing Matter] e and again asked him to reverse his recusal from the Russia investigation. Sessions did not reverse his recusal. In October 2017, the President met privately with Sessions in the Oval Office and asked him to ""take [a] look"" at investigating Clinton. In December 2017, shortly after Flynn pleaded guilty pursuant to a cooperation agreement, the President met with Sessions in the Oval Office and suggested, according to notes taken by a senior advisor, that if Sessions unrecused and took back supervision of the Russia investigation, he would be a ""hero."" The President told Sessions, ""I'm not going to do anything or direct you to do anything. I just want to be treated fairly."" In response, Sessions volunteered that he had never seen anything ""improper"" on the campaign and told the President there was a ""whole new leadership team"" in place. He did not unrecuse."
53,"The President then met with McGahn in the Oval Office and again pressured him to deny the reports. In the same meeting, the President also asked McGahn why he had told the Special Counsel about the President's effort to remove the Special Counsel and why McGahn took notes of his conversations with the President. McGahn refused to back away from what he remembered happening and perceived the President to be testing his mettle.","Conduct towards Flynn, Manafort, [Harm to Ongoing Matter] After Flynn withdrew from a joint defense agreement with the President and began cooperating with the government, the President's personal counsel left a message for Flynn's attorneys reminding them of the President's warm feelings towards Flynn, which he said ""still remains,"" and asking for a ""heads up"" if Flynn knew ""information that implicates the President."" When Flynn's counsel reiterated that Flynn could no longer share information pursuant to a joint defense agreement, the President's personal counsel said he would make sure that the President knew that Flynn's actions reflected ""hostility"" towards the President. During Manafort's prosecution and when the jury in his criminal trial was deliberating, the President praised Manafort in public, said that Manafort was being treated unfairly, and declined to rule out a pardon. After Manafort was convicted, the President called Manafort ""a brave man"" for refusing to ""break"" and said that ""flipping"" ""almost ought to be outlawed."" [Harm to Ongoing Matter] Conduct involving Michael Cohen. The President's conduct towards Michael Cohen, a former Trump Organization executive, changed from praise for Cohen when he falsely minimized the President's involvement in the Trump Tower Moscow project, to castigation of Cohen when he became a cooperating witness. From September 2015 to June 2016, Cohen had pursued the Trump Tower Moscow project on behalf of the Trump Organization and had briefed candidate Trump on the project numerous times, including discussing whether Trump should travel to Russia to advance the deal. In 2017, Cohen provided false testimony to Congress about the project, including stating that he had only briefed Trump on the project three times and never discussed travel to Russia with him, in an effort to adhere to a ""party line"" that Cohen said was developed to minimize the President's connections to Russia. While preparing for his congressional testimony, Cohen had extensive discussions with the President's personal counsel, who, according to Cohen, said that Cohen should stay on message"" and not contradict the President. After the FBI searched Cohen's [Harm to Ongoing Matter] e and office in April 2018, the President publicly asserted that Cohen would not ""flip,"" contacted him directly to tell him to stay strong,"" and privately passed messages of support to him. Cohen also discussed pardons with the President's personal counsel and believed that if he stayed on message he would be taken care of. But after Cohen began cooperating with the government in the summer of 2018, the President publicly criticized him, called him a ""rat,"" and suggested that his family members had committed crimes."
54,A.,"The Campaign's Response to Reports About Russian Support for Trump During the 2016 campaign, the media raised questions about a possible connection between the Trump Campaign and Russia.? The questions intensified after WikiLeaks released politically damaging Democratic Party emails that were reported to have been hacked by Russia. Trump responded to questions about possible connections to Russia by denying any business involvement in Russia -- even though the Trump Organization had pursued a business project in Russia as late as June 2016. Trump also expressed skepticism that Russia had hacked the emails at the same time as he and other Campaign advisors privately sought information [Harm to Ongoing Matter] about any further planned WikiLeaks releases. After the election, when questions persisted about possible links between Russia and the Trump Campaign, the President-Elect continued to deny any connections to Russia and privately expressed concerns that reports of Russian election interference might lead the public to question the legitimacy of his election."
55,"Footnote: 17. Tracy Wilkinson, In a shift, Republican platform doesn't call for arming Ukraine against Russia, spurring outrage, Los Angeles Times (July 21, 2016); Josh Rogin, Trump campaign guts GOP's anti- Russia stance on Ukraine, Washington Post (July 18, 2016).","National Convention about the Trump Campaign's involvement in changing the Republican platform's stance on giving ""weapons to Ukraine to fight Russian and rebel forces.""18 2. The Trump Campaign Reacts to WikiLeaks's Release of Hacked Emails On June 14, 2016, a cybersecurity firm that had conducted in-house analysis for the Democratic National Committee (DNC) posted an announcement that Russian government hackers had infiltrated the DNC's computer and obtained access to documents. 19 On July 22, 2016, the day before the Democratic National Convention, WikiLeaks posted thousands of hacked DNC documents revealing sensitive internal deliberations.20 Soon thereafter, Hillary Clinton's campaign manager publicly contended that Russia had hacked the DNC emails and arranged their release in order to help candidate Trump.21 On July 26, 2016, the New York Times reported that U.S. ""intelligence agencies ha[d] told the White House they now have 'high confidence that the Russian government was behind the theft of emails and documents from the Democratic National Committee.""22 Within the Trump Campaign, aides reacted with enthusiasm to reports of the hacks.23 [Harm to Ongoing Matter] discussed with Campaign officials that WikiLeaks would release the hacked material.24 Some witnesses said that Trump himself discussed the possibility of upcoming releases [Harm to Ongoing Matter] . Michael Cohen, then-executive vice president of the Trump Organization and special counsel to Trump, recalled hearing [Harm to Ongoing Matter] 4 Cohen recalled that Trump responded, ""oh good, alright,"""
56,"Footnote: 24. Gates 4/11/18 302, at 2-3 (SM-2180998); Gates 10/25/18 302, at 2; see also Volume 1, Section III.D.1, supra.","Footnote: 25. Cohen 8/7/18 302, at 8; see also Volume I, Section III.D.1, supra. According to Cohen, after WikiLeaks's subsequent release of stolen DNC emails on July 22, 2016, Trump said to Cohen words to the effect of, [Harm to Ongoing Matter] Cohen 9/18/18 302, at 10. Cohen's role in the candidate's and later 17"
57,"Footnote: 30. Bannon 1/18/19 302, at 3.","Footnote: 31. Gates 4/11/18 302, at 1-2 (SM-2180998); Gates 10/25/18 302, at 2 (messaging strategy was being formed in June/July timeframe based on claims by Assange on June 12, 2016, [Harm to Ongoing Matter] 32 @realDonaldTrump 7/26/16 (6:47 p.m. ET) Tweet."
